Metric,Subject,Occasion,ReferenceSubject,ReferenceOccasion,PathIndex,PathLength,NormalizedPathPosition,ReferenceOriginalFrameIndex,ReferenceValidFrameIndex,ReferenceNormalizedFramePosition,ReferenceValue,TargetOriginalFrameIndex,TargetValidFrameIndex,TargetNormalizedFramePosition,TargetValue,LocalAbsoluteCost,Comparison_DTWnorm
SFR,E01,Z2,M2025,REF,26,69,0.382352941176,24,24,0.400000000000,13.136850996573,21,21,0.368421052632,19.402581978415,6.265730981841,2.780371099667
SFR,E01,Z2,M2025,REF,27,69,0.397058823529,25,25,0.416666666667,25.402761559992,22,22,0.385964912281,31.384851364845,5.982089804854,2.780371099667
SFR,E01,Z2,M2025,REF,28,69,0.411764705882,25,25,0.416666666667,25.402761559992,23,23,0.403508771930,27.333974791936,1.931213231944,2.780371099667
SFR,E01,Z2,M2025,REF,29,69,0.426470588235,26,26,0.433333333333,17.884583064766,24,24,0.421052631579,18.764472792101,0.879889727335,2.780371099667
SFR,E01,Z2,M2025,REF,30,69,0.441176470588,27,27,0.450000000000,15.812707181010,25,25,0.438596491228,15.613440937730,0.199266243280,2.780371099667
SFR,E01,Z2,M2025,REF,31,69,0.455882352941,28,28,0.466666666667,16.584392472260,26,26,0.456140350877,20.796927177175,4.212534704914,2.780371099667
SFR,E01,Z2,M2025,REF,32,69,0.470588235294,29,29,0.483333333333,24.083574632173,27,27,0.473684210526,24.103862026312,0.020287394139,2.780371099667
SFR,E01,Z2,M2025,REF,33,69,0.485294117647,30,30,0.500000000000,21.558652344305,27,27,0.473684210526,24.103862026312,2.545209682008,2.780371099667
SFR,E01,Z2,M2025,REF,34,69,0.500000000000,31,31,0.516666666667,15.901996317359,28,28,0.491228070175,14.213570149093,1.688426168266,2.780371099667
SFR,E01,Z2,M2025,REF,35,69,0.514705882353,31,31,0.516666666667,15.901996317359,29,29,0.508771929825,15.426501402171,0.475494915188,2.780371099667
SFR,E01,Z2,M2025,REF,36,69,0.529411764706,32,32,0.533333333333,22.099005446027,30,30,0.526315789474,24.136003705460,2.036998259433,2.780371099667
SFR,E01,Z2,M2025,REF,37,69,0.544117647059,32,32,0.533333333333,22.099005446027,31,31,0.543859649123,22.119625715156,0.020620269129,2.780371099667
SFR,E01,Z2,M2025,REF,38,69,0.558823529412,33,33,0.550000000000,20.518662009335,32,32,0.561403508772,19.988315369009,0.530346640326,2.780371099667
SFR,E01,Z2,M2025,REF,39,69,0.573529411765,34,34,0.566666666667,23.768366875636,32,32,0.561403508772,19.988315369009,3.780051506627,2.780371099667
SFR,E01,Z2,M2025,REF,40,69,0.588235294118,35,35,0.583333333333,17.994766100830,33,33,0.578947368421,18.168912016843,0.174145916013,2.780371099667
SFR,E01,Z2,M2025,REF,41,69,0.602941176471,36,36,0.600000000000,14.272820943267,34,34,0.596491228070,11.727521882070,2.545299061198,2.780371099667
SFR,E01,Z2,M2025,REF,42,69,0.617647058824,37,37,0.616666666667,10.151540881743,35,35,0.614035087719,12.462862013782,2.311321132039,2.780371099667
SFR,E01,Z2,M2025,REF,43,69,0.632352941176,38,38,0.633333333333,7.496863617742,36,36,0.631578947368,6.419941315764,1.076922301978,2.780371099667
SFR,E01,Z2,M2025,REF,44,69,0.647058823529,39,39,0.650000000000,8.877685585740,37,37,0.649122807018,6.371835409694,2.505850176046,2.780371099667
SFR,E01,Z2,M2025,REF,45,69,0.661764705882,40,40,0.666666666667,9.130678798129,38,38,0.666666666667,6.763424290785,2.367254507344,2.780371099667
SFR,E01,Z2,M2025,REF,46,69,0.676470588235,41,41,0.683333333333,9.958936706168,38,38,0.666666666667,6.763424290785,3.195512415384,2.780371099667
